Date;Close
07/03/2023;2811,78
06/03/2023;2811,73
03/03/2023;2821,35
02/03/2023;2810,98
01/03/2023;2808,7
28/02/2023;2808,39
27/02/2023;2808,07
24/02/2023;2803,11
23/02/2023;2793,49
22/02/2023;2797,85
17/02/2023;2797,4
16/02/2023;2780,71
15/02/2023;2782,91
14/02/2023;2778,7
13/02/2023;2774,4
10/02/2023;2785,52
09/02/2023;2791,44
08/02/2023;2798,31
07/02/2023;2804,81
06/02/2023;2811,12
03/02/2023;2815,69
02/02/2023;2814,15
01/02/2023;2807,02
31/01/2023;2821,14
30/01/2023;2807,88
27/01/2023;2809,46
26/01/2023;2809,44
25/01/2023;2816,54
24/01/2023;2811,9
23/01/2023;2815,86
20/01/2023;2826,67
19/01/2023;2824,92
18/01/2023;2838,73
17/01/2023;2838,03
16/01/2023;2840,79
13/01/2023;2838,74
12/01/2023;2833,33
11/01/2023;2839,07
10/01/2023;2845,39
09/01/2023;2845,35
06/01/2023;2850,98
05/01/2023;2855,86
04/01/2023;2846,9
03/01/2023;2855,21
02/01/2023;2861,1
29/12/2022;2867,13
28/12/2022;2850,52
27/12/2022;2834,46
26/12/2022;2826,99
23/12/2022;2820,03
22/12/2022;2801,14
21/12/2022;2799,72
20/12/2022;2779,54
19/12/2022;2762,37
16/12/2022;2780,48
15/12/2022;2786,08
14/12/2022;2801,87
13/12/2022;2827,17
12/12/2022;2846,77
09/12/2022;2866,28
08/12/2022;2862,98
07/12/2022;2876,21
06/12/2022;2881,58
05/12/2022;2889,07
02/12/2022;2893,69
01/12/2022;2877,88
30/11/2022;2867,21
29/11/2022;2851,29
28/11/2022;2850,52
25/11/2022;2852,69
24/11/2022;2858,55
23/11/2022;2858,85
22/11/2022;2866,5
21/11/2022;2867,85
18/11/2022;2878,28
17/11/2022;2864,01
16/11/2022;2914,4
14/11/2022;2931,19
11/11/2022;2934,71
10/11/2022;2941,54
09/11/2022;2969,14
08/11/2022;2983,37
07/11/2022;2987,19
04/11/2022;2993,06
03/11/2022;2988,75
01/11/2022;2989,15
31/10/2022;2991,45
28/10/2022;2993,69
27/10/2022;2992,35
26/10/2022;2991
25/10/2022;2993,37
24/10/2022;2993,16
21/10/2022;2999,05
20/10/2022;2992,35
19/10/2022;2986,43
18/10/2022;2987,1
17/10/2022;2982,34
14/10/2022;2991,66
13/10/2022;2992,58
11/10/2022;2999,96
10/10/2022;2998,46
07/10/2022;3002,83
06/10/2022;2995,6
05/10/2022;2986,5
04/10/2022;2985,08
03/10/2022;2982,9
30/09/2022;2990,8
29/09/2022;2972,49
28/09/2022;2975,15
27/09/2022;2979,49
26/09/2022;2984,31
23/09/2022;2990,3
22/09/2022;2994,65
21/09/2022;2989,12
20/09/2022;2987,89
19/09/2022;2983,78
16/09/2022;2984,44
15/09/2022;2971,49
14/09/2022;2968,92
13/09/2022;2973,51
12/09/2022;2973,68
09/09/2022;2980,06
08/09/2022;2974,43
06/09/2022;2977,07
05/09/2022;2980,81
02/09/2022;2975,51
01/09/2022;2968,97
31/08/2022;2976,23
30/08/2022;2957,24
29/08/2022;2952,45
26/08/2022;2940,71
25/08/2022;2933,26
24/08/2022;2929,11
23/08/2022;2931,46
22/08/2022;2929,78
19/08/2022;2923,16
18/08/2022;2920,92
17/08/2022;2916,99
16/08/2022;2908,29
15/08/2022;2902,06
12/08/2022;2870,95
11/08/2022;2851,58
10/08/2022;2832,94
09/08/2022;2825,74
08/08/2022;2821,16
05/08/2022;2817,42
04/08/2022;2811,2
03/08/2022;2806,25
02/08/2022;2808,65
01/08/2022;2803,32
29/07/2022;2814,1
28/07/2022;2801,68
27/07/2022;2794,62
26/07/2022;2794
25/07/2022;2792,96
22/07/2022;2793,34
21/07/2022;2791,03
20/07/2022;2789,52
19/07/2022;2784,13
18/07/2022;2779,77
15/07/2022;2778,14
14/07/2022;2775,88
13/07/2022;2773,14
12/07/2022;2780,3
11/07/2022;2786,81
08/07/2022;2792,01
07/07/2022;2792,59
06/07/2022;2788,63
05/07/2022;2783,8
04/07/2022;2793,4
01/07/2022;2792,12
30/06/2022;2795,62
29/06/2022;2792,39
28/06/2022;2793,71
27/06/2022;2800,55
24/06/2022;2802,37
23/06/2022;2802,66
22/06/2022;2808,42
21/06/2022;2813,08
20/06/2022;2811,25
17/06/2022;2802,02
15/06/2022;2804,38
14/06/2022;2801,27
13/06/2022;2802,54
10/06/2022;2813,64
09/06/2022;2817,79
08/06/2022;2822,8
07/06/2022;2824,87
06/06/2022;2829,29
03/06/2022;2830,26
02/06/2022;2826,25
01/06/2022;2823,08
31/05/2022;2820,45
30/05/2022;2812,62
27/05/2022;2806,52
26/05/2022;2795,69
25/05/2022;2793,18
24/05/2022;2791,1
23/05/2022;2789,37
20/05/2022;2784,57
19/05/2022;2779,16
18/05/2022;2777,46
17/05/2022;2776,62
16/05/2022;2768,63
13/05/2022;2771,87
12/05/2022;2755,79
11/05/2022;2763,86
10/05/2022;2768,12
09/05/2022;2769,8
06/05/2022;2779,36
05/05/2022;2782,46
04/05/2022;2787,91
03/05/2022;2794,89
02/05/2022;2798,16
29/04/2022;2813,06
28/04/2022;2804,83
27/04/2022;2801,2
26/04/2022;2801,99
25/04/2022;2805,31
22/04/2022;2810,29
20/04/2022;2808,21
19/04/2022;2805,38
18/04/2022;2801,91
14/04/2022;2808,6
13/04/2022;2803,59
12/04/2022;2808,97
11/04/2022;2807,58
08/04/2022;2808,83
07/04/2022;2805,35
06/04/2022;2803,89
05/04/2022;2805,6
04/04/2022;2807,19
01/04/2022;2798,71
31/03/2022;2779,97
30/03/2022;2772,17
29/03/2022;2762,05
28/03/2022;2748,26
25/03/2022;2748,27
24/03/2022;2732,68
23/03/2022;2734,59
22/03/2022;2730,52
21/03/2022;2720,15
18/03/2022;2719,17
17/03/2022;2708,51
16/03/2022;2710,31
15/03/2022;2707,76
14/03/2022;2704,57
11/03/2022;2719,78
10/03/2022;2724,42
09/03/2022;2724,8
08/03/2022;2725,71
07/03/2022;2730,86
04/03/2022;2741,72
03/03/2022;2742,02
02/03/2022;2736,58
25/02/2022;2741,15
24/02/2022;2709,75
23/02/2022;2729,33
22/02/2022;2733,35
21/02/2022;2741,59
18/02/2022;2751,56
17/02/2022;2746,55
16/02/2022;2747,53
15/02/2022;2750,97
14/02/2022;2753,16
11/02/2022;2762,7
10/02/2022;2761,03
09/02/2022;2763,76
08/02/2022;2762,57
07/02/2022;2765,64
04/02/2022;2771,91
03/02/2022;2767,59
02/02/2022;2771,01
01/02/2022;2776,61
31/01/2022;2776,92
28/01/2022;2769,9
27/01/2022;2767,02
26/01/2022;2772,94
25/01/2022;2792,61
24/01/2022;2799,78
21/01/2022;2810,25
20/01/2022;2804,56
19/01/2022;2807,06
18/01/2022;2802,02
17/01/2022;2795,85
14/01/2022;2782,9
13/01/2022;2764,6
12/01/2022;2764,28
11/01/2022;2754,41
10/01/2022;2752,14
07/01/2022;2759,57
06/01/2022;2757,29
05/01/2022;2760,14
04/01/2022;2787,26
03/01/2022;2789,14
30/12/2021;2804,79
29/12/2021;2789,32
28/12/2021;2768,02
27/12/2021;2743,68
23/12/2021;2724,6
22/12/2021;2706,64
21/12/2021;2703,24
20/12/2021;2695,05
17/12/2021;2694,73
16/12/2021;2681,35
15/12/2021;2676,14
14/12/2021;2668,73
13/12/2021;2673,92
10/12/2021;2673,94
09/12/2021;2669,06
08/12/2021;2673,21
07/12/2021;2660,89
06/12/2021;2643,1
03/12/2021;2610,67
02/12/2021;2582,87
01/12/2021;2581,29
30/11/2021;2578,4
29/11/2021;2563,76
26/11/2021;2541,52
25/11/2021;2545,98
24/11/2021;2546,87
23/11/2021;2563,61
22/11/2021;2581,43
19/11/2021;2594,13
18/11/2021;2591,02
17/11/2021;2603,62
16/11/2021;2612,67
12/11/2021;2617,76
11/11/2021;2621,88
10/11/2021;2627,2
09/11/2021;2627,19
